PC1,PC2,PC3,PC4,PC5,Actual,Churn_Prediction,Churn_Probability
0.6336871583854224,1.4412905508831535,-0.4550680136201341,0.154876315485905,-0.1464049392637612,0,0,0.0062104412
0.590707889562289,-0.28693548327588,-0.1585068422162409,0.3089204794188454,-0.2660478319616444,0,1,0.5898876
0.0377364511358574,0.5768733408408853,0.9576322007942092,0.5615847096325648,0.4013272127345202,0,0,0.002704122
0.4739112993735377,-0.5393280770800682,-0.0884755629255861,-0.8973675676057093,-0.2582216152770704,0,0,0.4398281
-0.0831965088030651,1.2783461482427454,-0.3386715804492893,0.3436967073673221,0.4915627610022784,0,0,0.0023817352
0.6059575924297282,-0.1633693598685159,-0.1681365394787701,0.3233481269773311,-0.3302331410870524,0,0,0.32492742
0.6029351519861808,-0.1660509277500507,-0.1682439235156101,0.3239909031382429,-0.3285733865485744,0,0,0.412689
-0.6781963997626235,-0.5418698302222913,-0.2017087605779381,0.7022101883423355,0.1216512512201475,0,0,0.08965736
-1.2982327918701515,0.234446646516938,-0.5960277657976737,-0.1247602710296717,-0.3411172083143133,0,0,0.006419672
0.1940483473023125,-0.6686957582482526,-0.1578736856335413,0.1306020862152867,0.6166574562887348,1,1,0.6256074
1.159339261839594,0.5949443124194138,-0.0110484752375427,-0.2033675497862422,0.2272797710422849,0,0,0.033641584
0.6341259402083981,1.436860364250082,-0.4549288080629595,0.1539957400300799,-0.1443169704492205,0,0,0.0062104412
-0.2149982945941477,-0.1409760605346152,-0.0783887213850117,0.5790051140720058,0.225023148806808,0,0,0.056655254
0.5367056981275948,-0.2959368733039357,-0.1631194629928925,0.3266909482647924,-0.2558043622848546,1,1,0.6411321
-0.5698744245641666,-0.2860013413161588,0.1325771454237784,-0.3069997040118974,0.0383668036129038,0,0,0.09937726
0.4122125116509934,0.7479921585519436,-0.7571312505008883,0.3557049704138418,-0.6058602122488741,0,0,0.027233463
-1.3141392315108489,-0.1441650225490459,-0.5572818371886016,-0.1796804626832366,-0.1454897282850569,0,0,0.0055233683
0.9323036633673232,-0.5659018597071028,-0.2703510085343105,-0.0756395501192273,0.0055888001932722,0,1,0.5602392
0.67442415857996,0.3888771282864624,0.5239274908642335,0.5783892171783422,-0.8838214513196081,0,0,0.42186186
-0.5610247450945678,0.3468820359453085,1.148082642861465,-0.2514375490379337,0.282051808991159,0,0,0.0015609153
0.4905471462771256,-0.3998708327771067,-0.1580561298552052,0.3264296334039732,-0.198195847132267,1,1,0.7934391
-0.1992648137082741,-0.1013104406572953,0.3202952751032807,-0.8609604001770033,0.9046176335234516,0,1,0.5531703
-0.7118141182129591,-0.2779167342650698,0.5008448657332752,0.9470371618703832,-0.2770857234705286,0,0,0.009305797
-1.1340318025696243,-0.4473750893231565,0.7073817519441675,0.0810754959783636,-0.4442323831488398,0,0,0.013276741
0.108719892130395,0.0637979727064767,-0.0089339134275142,-0.4523527035490812,-0.691778230522333,0,0,0.3934986
-0.056491975485903,0.219502984782405,0.247196491754959,0.3470984148080417,0.8595858536309293,0,0,0.11949429
0.5193173539912468,-0.4770066025433735,-0.0896888288277092,-0.903517771816588,-0.2946164311380577,1,0,0.39544603
0.6048655147490696,-0.2340877845428594,-0.1618637606074478,0.3123736611479975,-0.294304871856159,1,1,0.71854603
-0.5023970073219693,-0.2346106118217934,-0.8733582780263328,0.2876959328609842,0.2783108107147823,0,0,0.0062458394
0.9088490836756822,-0.6906641124366595,-0.2617341757920105,-0.0873519180093707,0.07113715147421,1,1,0.8650813
0.98180887314002,-0.1855226891234266,-0.2992694796245847,-0.0321184149447229,-0.1920974691230088,0,0,0.36726466
-0.6696690892748387,-0.480020113464338,0.1419127585869664,-0.3025861432007556,0.147791884849255,0,0,0.19611105
-0.7036785867450276,-0.1325420533666571,0.4862839058545767,0.9674077347356668,-0.352373479350318,0,0,0.011537489
-1.28364046094348,0.2519574249428915,-0.5961917034062597,-0.1271413900727013,-0.351538979141882,0,0,0.004345199
0.9111000326215446,-0.6980555401280958,-0.2608480741198032,-0.0893408776835587,0.0746408067748531,1,1,0.90178907
0.6537968161428422,0.245052167924586,-0.1990020178610838,0.3719990085421337,-0.5416756005472652,0,0,0.43102604
-0.5960425418136317,-0.4337869336196481,0.1444529476633447,-0.3213858030798735,0.1163821361047422,1,1,0.5596308
-1.2974661921547963,0.2867586303249964,-0.6018474038688931,-0.1166761011225075,-0.3681117238516633,0,0,0.0015730844
